,X,CH1,CH2,I
443,-1.8713999999999997e-05,0.001,24.1,0.12000000000000004
444,-1.8712e-05,-0.003,24.1,0.09200000000000004
445,-1.871e-05,-0.005,24.1,0.06000000000000004
446,-1.8707999999999998e-05,-0.005,24.3,0.03200000000000005
447,-1.8706e-05,-0.007,24.5,0.0040000000000000565
448,-1.8704e-05,-0.011,24.7,-0.03199999999999994
449,-1.8701999999999998e-05,-0.011,24.7,-0.06799999999999994
450,-1.8699999999999997e-05,-0.011,24.7,-0.09599999999999993
451,-1.8698e-05,-0.011,24.9,-0.12399999999999993
452,-1.8696e-05,-0.015,24.9,-0.15599999999999994
453,-1.8693999999999998e-05,-0.013,24.9,-0.18399999999999994
454,-1.8692e-05,-0.013,24.7,-0.2039999999999999
455,-1.869e-05,-0.013,24.9,-0.21999999999999992
456,-1.8687999999999998e-05,-0.015,24.9,-0.2399999999999999
457,-1.8685999999999997e-05,-0.013,24.7,-0.2519999999999999
458,-1.8684e-05,-0.011,24.7,-0.2519999999999999
459,-1.8682e-05,-0.011,24.7,-0.2519999999999999
460,-1.8679999999999997e-05,-0.009,24.7,-0.24799999999999991
461,-1.8678e-05,-0.009,24.7,-0.2439999999999999
462,-1.8676e-05,-0.007,24.5,-0.2279999999999999
463,-1.8673999999999998e-05,-0.005,24.5,-0.2119999999999999
464,-1.8672e-05,-0.003,24.3,-0.1919999999999999
465,-1.867e-05,-0.001,24.1,-0.16799999999999993
466,-1.8667999999999998e-05,0.001,23.9,-0.13599999999999993
467,-1.8665999999999997e-05,0.003,23.9,-0.10399999999999994
468,-1.8664e-05,0.001,23.9,-0.07999999999999993
469,-1.8662e-05,0.003,23.7,-0.051999999999999935
470,-1.8659999999999998e-05,0.005,23.5,-0.023999999999999945
471,-1.8658e-05,0.007,23.7,0.008000000000000057
472,-1.8656e-05,0.005,23.5,0.032000000000000056
473,-1.8653999999999998e-05,0.007,23.3,0.05600000000000005
474,-1.8651999999999997e-05,0.009,23.3,0.08000000000000004
475,-1.865e-05,0.009,23.3,0.10000000000000005
476,-1.8648e-05,0.007,23.5,0.11200000000000006
477,-1.8645999999999997e-05,0.009,23.5,0.12400000000000004
478,-1.8644e-05,0.007,23.5,0.13600000000000004
