,X,CH1,CH2,I
532,1.2564e-05,-0.008,21.6,-0.16
533,1.2566e-05,-0.008,21.6,-0.16
534,1.2568e-05,-0.008,21.6,-0.16
535,1.257e-05,-0.008,21.6,-0.16
536,1.2572000000000001e-05,-0.008,22.4,-0.16
537,1.2574e-05,-0.008,22.4,-0.16
538,1.2576e-05,-0.016,21.6,-0.32
539,1.2578e-05,-0.008,22.4,-0.16
540,1.258e-05,-0.008,22.4,-0.16
541,1.2581999999999999e-05,-0.008,22.4,-0.16
542,1.2584e-05,-0.008,22.4,-0.16
543,1.2586e-05,-0.016,22.4,-0.32
544,1.2588e-05,-0.008,22.4,-0.16
545,1.259e-05,-0.008,22.4,-0.16
546,1.2592e-05,-0.016,22.4,-0.32
547,1.2594e-05,-0.008,22.4,-0.16
548,1.2596e-05,-0.008,22.4,-0.16
549,1.2598e-05,-0.008,22.4,-0.16
550,1.26e-05,-0.008,22.4,-0.16
551,1.2602e-05,-0.016,23.2,-0.32
552,1.2604e-05,-0.008,23.2,-0.16
553,1.2606000000000001e-05,-0.008,23.2,-0.16
554,1.2608e-05,-0.008,23.2,-0.16
555,1.261e-05,-0.016,23.2,-0.32
556,1.2612e-05,-0.008,23.2,-0.16
557,1.2614e-05,-0.008,23.2,-0.16
558,1.2615999999999999e-05,-0.008,23.2,-0.16
559,1.2618e-05,-0.008,23.2,-0.16
560,1.262e-05,-0.008,23.2,-0.16
561,1.2622e-05,-0.008,23.2,-0.16
562,1.2624e-05,-0.016,23.2,-0.32
563,1.2626e-05,-0.016,23.2,-0.32
564,1.2628e-05,-0.008,23.2,-0.16
565,1.263e-05,-0.008,23.2,-0.16
566,1.2632e-05,-0.016,23.2,-0.32
567,1.2634e-05,-0.016,23.2,-0.32
568,1.2636e-05,-0.008,23.2,-0.16
569,1.2638e-05,-0.008,24.0,-0.16
570,1.2640000000000001e-05,-0.016,23.2,-0.32
571,1.2642e-05,-0.016,24.0,-0.32
572,1.2644e-05,-0.016,23.2,-0.32
573,1.2646e-05,-0.016,24.0,-0.32
574,1.2648e-05,-0.008,24.0,-0.16
575,1.265e-05,-0.008,24.0,-0.16
576,1.2652e-05,-0.008,24.0,-0.16
577,1.2654e-05,-0.016,24.0,-0.32
578,1.2656e-05,-0.016,24.0,-0.32
579,1.2658e-05,-0.008,24.0,-0.16
580,1.266e-05,-0.008,24.0,-0.16
